id,id_genre
ts21740,3
ts21740,0
ts21740,10
tm94430,5
tm94430,2
tm94430,16
tm169128,1
tm169128,7
tm169128,8
ts21688,2
ts21688,5
ts21688,13
tm30170,16
tm30170,5
tm30170,0
tm30170,3
tm30170,6
ts26322,1
ts26322,13
ts26322,2
ts26322,5
ts20544,2
ts20544,5
ts20544,1
ts20544,13
tm32885,2
tm32885,5
tm32885,3
tm32885,9
tm186461,4
tm186461,11
tm82836,13
tm82836,2
tm82836,5
tm31187,5
tm31187,13
tm31187,9
tm82765,5
tm82765,6
ts14102,1
tm56428,2
tm137919,2
tm137919,13
tm134407,2
tm134407,5
tm134407,13
ts178360,16
ts178360,17
ts178360,0
ts178360,3
ts178360,10
tm59880,2
ts12701,14
ts12701,2
ts12701,0
ts12701,8
ts12701,16
ts12701,1
ts12701,7
ts12701,13
ts20526,5
ts20526,2
ts20526,13
ts20526,15
ts21664,2
tm132321,2
tm132321,7
tm95493,13
tm95493,5
tm95493,2
tm97072,5
tm97072,13
ts34414,2
ts21706,5
ts21706,14
ts21706,7
ts21706,8
ts74928,4
ts74928,9
ts74928,17
ts74928,6
ts12444,5
tm30112,17
tm30112,0
tm30112,5
tm30112,9
tm30112,13
tm28366,16
tm28366,5
tm28366,0
tm28366,3
tm130647,5
tm130647,16
tm130647,13
tm130647,6
ts1464,0
ts1464,5
ts1464,3
ts1464,16
ts1464,2
tm141070,5
tm141070,7
tm133797,0
tm133797,14
tm133797,1
tm133797,7
tm133797,2
tm133797,16
tm133797,8
ts27459,0
ts27459,5
ts911,12
tm104880,2
tm95238,8
tm95238,2
tm95238,7
tm95238,10
tm152406,16
tm152406,0
tm152406,3
tm164557,5
tm164557,13
tm164557,0
tm164557,2
ts20535,1
ts20535,2
ts20535,7
ts20535,6
tm44634,2
tm44634,4
tm89039,2
tm89039,5
ts20358,2
ts12815,2
ts12815,5
ts12815,7
ts12815,11
ts21421,1
ts21421,2
ts21421,7
ts21421,6
tm464888,5
tm464888,2
tm464888,13
tm150521,5
tm150521,16
ts23797,0
ts23797,2
ts23797,15
ts23797,3
ts67595,2
ts67595,5
tm78767,2
tm78767,13
tm22989,2
tm22989,4
tm22540,2
tm22540,3
tm22636,2
tm22636,3
tm114504,5
tm114504,0
tm114504,9
tm456581,5
tm456581,4
tm456581,16
tm36991,2
tm36991,7
tm36991,6
tm156575,5
tm156575,2
ts23835,1
ts23835,2
ts23835,7
ts23835,0
tm368679,4
tm72587,5
tm72587,4
tm72587,6
tm31335,2
tm31335,3
tm134235,1
tm134235,8
tm134235,0
tm237621,5
tm237621,10
tm237621,16
tm76835,13
tm76835,2
tm76835,5
tm39557,5
tm39557,13
tm39557,2
tm340006,0
tm340006,5
ts20398,2
ts3666,14
ts3666,2
ts3666,5
ts3666,1
tm96052,5
ts21967,1
ts21967,5
ts21967,0
ts21967,2
ts21967,7
ts21967,14
tm21155,5
tm21155,6
tm155761,2
tm155761,13
tm155761,0
tm91046,5
tm27598,1
tm27598,2
tm27598,5
tm27598,7
tm27598,8
tm36475,5
tm36475,2
tm36475,13
tm83786,5
tm83786,7
tm137484,1
tm137484,0
tm137484,7
tm137484,2
tm137484,5
tm137484,8
tm137484,14
tm44530,5
tm44530,13
tm144345,2
tm144345,5
tm144345,13
ts1893,2
ts1893,7
ts1893,8
ts1893,1
ts1893,6
ts98353,1
ts98353,7
ts30356,1
ts30356,0
ts30356,2
ts30356,7
tm27480,2
tm80455,16
tm80455,5
tm80455,3
tm418157,4
tm53999,1
tm53999,7
tm53999,2
tm138497,3
tm138497,2
tm92977,2
tm92977,5
tm92977,13
tm92977,16
tm139349,2
tm139349,4
ts17028,0
ts17028,14
ts17028,2
ts17028,1
ts17028,7
ts17028,18
tm142408,2
tm142408,3
tm142408,7
tm142408,0
tm92671,2
tm92671,0
tm92671,3
tm91125,16
tm91125,3
tm91125,5
tm91125,13
tm91125,0
tm91176,5
tm112381,2
tm112381,4
tm68191,5
tm68191,17
tm68191,2
tm68191,6
tm101609,16
tm101609,3
tm101609,5
tm29028,5
tm29028,6
tm29028,13
tm145243,2
tm145243,5
tm145243,13
tm130811,0
tm130811,2
tm130811,3
tm130811,16
tm31274,13
tm31274,2
tm31274,12
tm43399,5
tm43399,13
tm43399,15
tm29555,13
tm29555,2
tm29555,5
tm168869,2
tm82718,14
tm82718,2
tm145436,16
tm145436,3
tm164389,5
tm164389,8
tm164389,13
tm164389,2
tm57220,0
tm57220,5
tm57220,16
tm57220,2
tm57220,3
tm177687,1
tm177687,0
tm177687,2
tm177687,5
tm177687,8
ts38159,14
ts38159,1
ts38159,0
ts38159,5
ts38159,7
ts38159,8
ts38159,6
tm23441,5
tm23441,13
tm147686,2
tm147686,4
ts56589,1
ts56589,2
ts56589,7
tm141117,5
tm141117,13
tm82763,2
tm82763,7
tm54147,2
tm54147,5
tm54147,13
tm146099,5
tm146099,2
tm103095,5
tm103095,9
tm103095,15
tm103095,0
tm24576,0
tm24576,1
ts31593,7
ts31593,1
ts31593,0
ts31593,14
ts31593,2
ts31593,8
tm71558,1
tm71558,8
tm71558,7
tm73058,16
tm73058,5
tm73058,8
tm73058,13
tm73058,0
tm73058,2
ts21695,5
ts21695,0
ts21695,2
ts21695,12
ts21695,13
ts21695,16
tm29269,5
tm29269,9
tm29269,13
tm29269,17
tm29269,0
tm34924,16
tm34924,0
tm61056,5
tm61056,2
tm61056,13
tm37945,5
tm37945,11
tm91323,2
tm91323,5
tm91323,13
tm129971,13
tm129971,5
tm129971,2
ts18653,0
ts18653,1
ts18653,2
tm36164,1
tm36164,0
tm36164,8
tm147494,8
tm147494,0
tm147494,1
tm84775,2
tm84775,5
tm99060,16
tm99060,5
tm99060,9
tm99060,0
tm88366,5
tm88366,13
tm88366,16
tm88366,0
tm88366,2
tm33981,2
tm33981,3
tm33981,14
tm33981,5
tm33981,0
tm33981,16
tm140653,5
tm140653,2
tm140653,13
tm101684,2
tm101684,13
ts63295,5
tm80339,2
tm80339,1
